member_id,age,country,job_title,days_since_signup,login_frequency_30d,resources_downloaded,webinars_attended,forum_posts,profile_completion_pct,events_registered,events_attended,newsletter_opens,avg_session_duration_min,support_tickets_raised,emails_to_support,referral_count,converted
IAASSE_00000,56,Australia,Student,412,14,6,0,4,85.29617998972154,3,2,8,25.159702706800605,1,0,0,1
IAASSE_00001,46,Brazil,Software Engineer,607,9,5,2,9,67.0575402551868,5,3,8,19.113455839046743,3,0,0,0
IAASSE_00002,32,India,Student,595,7,7,0,2,82.47594709366996,3,3,3,19.738132865429268,1,0,1,0
IAASSE_00003,60,Canada,Consultant,654,6,7,2,5,39.657797393243015,2,2,6,21.463593488019846,3,0,1,1
IAASSE_00004,25,Germany,Freelancer,475,7,8,2,4,67.7052151118416,5,4,6,60.88439807425929,0,0,0,0
IAASSE_00005,38,UK,Data Analyst,116,6,3,2,2,21.08224648471103,1,1,8,50.199001254672226,1,1,0,0
IAASSE_00006,56,USA,Software Engineer,359,9,6,4,2,52.229691219586016,7,5,7,25.08536442056159,2,0,1,1
IAASSE_00007,36,Australia,Student,97,1,4,2,3,76.83149227333334,3,2,6,5.520724533874219,1,0,1,0
IAASSE_00008,40,Nigeria,Researcher,420,11,6,4,2,83.31353711408843,1,1,5,17.993107208972315,0,0,0,1
IAASSE_00009,28,Nigeria,Software Engineer,708,10,5,1,6,84.44879727154219,2,2,2,9.255649818889992,3,0,0,0
IAASSE_00011,41,Australia,Data Analyst,691,9,4,6,3,45.27143054059223,0,0,7,14.437009787377677,1,1,1,0
IAASSE_00012,53,USA,Researcher,553,7,4,3,3,85.08564614487693,6,4,5,37.33591778214183,0,1,0,1
IAASSE_00013,57,Brazil,Software Engineer,728,5,4,2,4,99.8669980850554,2,2,6,15.377015950150719,1,0,0,0
IAASSE_00014,41,Brazil,Student,304,4,5,2,3,94.19041764049553,1,1,5,6.689828235512399,2,1,0,0
IAASSE_00015,20,Germany,Researcher,651,4,4,4,4,50.1638306624941,4,1,5,39.21377800547195,1,0,0,0
IAASSE_00016,39,India,Software Engineer,289,7,4,5,4,33.691768417176654,3,1,6,2.109031369118205,0,1,0,0
IAASSE_00017,19,Germany,Consultant,511,8,3,5,1,85.56317360745805,3,2,2,42.49410608713373,1,0,0,0
IAASSE_00018,41,Australia,Student,204,9,2,3,4,94.0878120277244,3,1,7,17.19623403722064,0,0,0,1
IAASSE_00020,47,Canada,Researcher,654,5,3,6,4,53.97647901927848,3,1,3,8.105033504503318,5,0,0,0
IAASSE_00021,55,Germany,Student,347,2,8,0,6,21.864257068247806,3,2,8,13.812674938715446,1,1,0,1
IAASSE_00022,19,Germany,Researcher,664,7,8,1,1,57.069143043110685,0,0,9,28.762149493850842,1,1,2,0
IAASSE_00023,38,UK,Software Engineer,340,8,3,3,4,49.828750889395465,2,1,6,2.620666746862586,1,1,0,0
IAASSE_00024,50,Brazil,Professor,149,8,2,1,0,83.95507995592268,2,2,6,46.54280432202172,0,1,0,0
IAASSE_00025,29,USA,Student,416,7,6,2,2,71.71723448545244,2,2,4,12.533339492225274,1,1,0,1
IAASSE_00029,44,Germany,Data Analyst,429,10,5,3,2,78.56558561351652,4,2,2,11.551137896964306,2,1,1,0
IAASSE_00030,59,UK,Freelancer,497,10,6,3,4,30.959043353187425,1,0,11,17.873615269063897,0,0,0,0
IAASSE_00031,45,USA,Professor,166,6,2,1,3,96.30583498494761,3,3,9,33.81574366046374,1,0,0,0
IAASSE_00032,33,Germany,Data Analyst,213,4,7,2,4,59.7805188717626,6,4,8,32.01176221502196,1,1,0,1
IAASSE_00034,64,USA,Freelancer,109,9,5,3,4,45.46128012630384,2,1,3,20.522856574808284,2,1,0,1
IAASSE_00035,61,Germany,Data Analyst,588,3,6,3,3,90.81684979057925,4,3,6,2.1789931067385426,0,0,0,0
IAASSE_00036,20,Canada,Software Engineer,637,7,7,4,2,67.9754244913924,5,2,6,47.29176741054594,1,0,0,0
IAASSE_00037,54,Germany,Software Engineer,657,10,3,3,2,76.73202466449122,4,2,3,19.190466678667082,2,1,0,0
IAASSE_00038,24,India,Data Analyst,678,6,2,3,3,61.68296182249963,1,1,8,97.2872936429964,0,1,0,0
IAASSE_00039,38,USA,Student,238,9,8,6,3,86.5974143151027,0,0,3,32.23737452928987,2,1,0,0
IAASSE_00040,26,USA,Data Analyst,666,9,8,2,3,59.44536449297561,4,3,5,10.403218562004852,3,2,0,0
IAASSE_00041,56,India,Data Analyst,430,10,9,2,5,74.39553116682681,3,2,3,11.614037401068515,2,0,0,0
IAASSE_00042,35,Australia,Software Engineer,553,8,2,2,2,64.09661056185973,0,0,3,38.18995927582939,3,0,0,0
IAASSE_00043,21,Germany,Student,245,9,4,2,7,36.617186148902775,5,4,3,7.920262743909467,0,0,0,0
IAASSE_00044,42,India,Consultant,340,6,2,2,2,68.4757729961183,1,1,7,13.216434039741426,1,0,0,0
IAASSE_00045,31,India,Researcher,155,8,8,0,0,64.72687084072399,4,4,7,15.099513870457514,1,2,0,0
IAASSE_00046,26,Brazil,Student,629,11,5,4,4,31.58932263282918,1,0,5,31.314358147654865,3,1,0,0
IAASSE_00047,43,Australia,Researcher,414,7,8,2,3,61.36130024146118,6,3,6,4.90994107291792,1,1,0,0
IAASSE_00049,37,Canada,Freelancer,232,5,7,2,1,4.128702112435998,4,3,9,17.387764975280227,0,0,1,0
IAASSE_00050,45,USA,Student,658,10,2,1,1,15.814955185924346,4,3,6,44.22638118439419,0,0,0,0
IAASSE_00051,64,Australia,Data Analyst,662,9,5,3,2,33.872139805089155,4,3,2,4.099586596932999,3,0,1,0
IAASSE_00052,24,UK,Professor,266,3,5,1,1,88.40407947962777,5,2,6,1.304062597334268,1,0,0,0
IAASSE_00053,61,Nigeria,Professor,680,8,2,3,1,24.13358716144133,2,2,3,29.17485740058471,0,1,0,0
IAASSE_00054,25,Australia,Manager,610,4,10,0,1,36.92085932066217,4,4,2,14.247969874659145,0,0,0,0
IAASSE_00055,64,Australia,Manager,180,8,6,2,4,99.0450168334486,2,2,6,16.8568074163566,0,0,0,1
IAASSE_00056,52,UK,Student,211,4,9,1,3,59.584359916347964,2,1,6,28.21188354556164,1,0,1,0
IAASSE_00057,31,USA,Software Engineer,421,9,10,2,2,96.11354989213548,4,3,8,42.999963771935015,2,1,1,1
IAASSE_00058,34,USA,Data Analyst,514,8,5,2,7,71.56433035303807,3,1,6,27.251395181287272,0,1,0,0
IAASSE_00059,53,Canada,Student,159,7,3,1,3,17.242857818600125,3,0,7,8.14012826260058,0,1,0,0
IAASSE_00060,57,USA,Manager,109,7,4,1,2,61.662856713554916,4,2,8,8.691756067627614,0,0,0,0
IAASSE_00061,21,Australia,Student,720,15,6,2,5,77.89732178858884,5,3,9,36.73892541738071,0,1,0,1
IAASSE_00063,23,Nigeria,Professor,123,11,1,1,0,45.00619347213542,2,0,4,9.789298915236387,3,0,0,0
IAASSE_00064,59,Germany,Student,671,7,8,3,4,70.18135930569238,9,6,3,27.976316145126816,0,0,0,1
IAASSE_00065,21,USA,Freelancer,162,7,2,3,2,58.143926174305484,3,3,7,47.3020718047757,0,0,0,0
IAASSE_00066,46,Nigeria,Freelancer,682,10,8,1,1,29.225531224432494,4,2,9,31.12269139790603,1,2,0,0
IAASSE_00068,43,USA,Student,524,9,6,2,5,98.21587615121251,1,0,4,4.1609674344071355,1,0,0,0
IAASSE_00070,51,UK,Software Engineer,244,7,4,4,5,96.7809563223526,1,0,4,49.39307679378727,0,0,0,0
IAASSE_00071,27,India,Data Analyst,590,7,5,3,2,72.27840128541843,3,1,6,23.78221915410567,1,0,0,0
IAASSE_00072,53,Brazil,Data Analyst,613,13,9,1,2,82.09360659563242,3,3,6,5.010407996120003,1,0,0,0
IAASSE_00073,31,USA,Freelancer,332,6,4,2,2,98.63195892762403,2,1,6,16.76583459415654,2,0,0,0
IAASSE_00074,48,Nigeria,Student,596,7,7,1,0,46.21537089248949,3,2,8,13.8478723224815,3,0,1,0
IAASSE_00076,25,Brazil,Student,182,7,2,1,3,73.99176432517737,3,1,6,46.50676718554217,0,0,0,0
IAASSE_00077,31,Canada,Software Engineer,690,6,6,4,2,75.08159922189141,0,0,13,24.964603759473064,1,0,0,0
IAASSE_00078,40,India,Professor,484,14,8,2,4,46.19700122288781,5,4,7,31.20961484343416,2,0,0,0
